FIGHT ORDER,KEY,ROUND FORMAT,EVENT_TYPE,EVENT_NAME,EVENT_YEAR,EVENT_MONTH,EVENT_DAY,LOCATION COUNTRY,LOCATION CITY,VENUE,ATTENDANCE,MAIN FIGHT,MID,WEIGHT CLASS,REF,METHOD,METHOD_D,ROUND,FINISH_ROUND_MIN,FINISH_ROUND_SEC,FINISH_ROUND_INSECONDS,TOTAL_INSECONDS,FIGHTER NAME,FIGHER NO,OUTCOME,FIGHTER ID,STR,TD,SUB,PASS,NICK,ASSOCIATION,LOCALITY,COUNTRY,BIRTH_YEAR,AGE_AT_FIGHT,HEIGHT_CM,WEIGHT_KG,REACH_INCH,REACH_INCH1,STANCE,WIN_AT_FIGHT,NOTWIN_AT_FIGHT,TOTAL_AT_FIGHT,WINRATIO_AT_FIGHT,STRAVG_AT_FIGHT,TDAVG_AT_FIGHT,SUBAVG_AT_FIGHT,PASSAVG_AT_FIGHT,AGE_DIFF,HEIGHT_DIFF,WEIGHT_DIFF,REACH_DIFF,EXP_DIFF,STRAVG_AT_FIGHT_DIFF,TDAVG_AT_FIGHT_DIFF,SUBAVG_AT_FIGHT_DIFF,PASSAVG_AT_FIGHT_DIFF,WINRATIO_DIFF,STANCE_DIFF,REACH_DIFF1
3564,UFC Fight Night: Cowboy vs Cowboy83520James KrauseShane Campbell,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,8,Lightweight,Keith Peterson,Decision,Unanimous,3,5,0,300,900,James Krause,Fighter 1,win,31766,47,2,2,3,The James Krause,Glory MMA and Fitness,"Lee's Summit, Missouri",United States,1986,30,187.96,70.30676,73,73,Orthodox,3,3,6,0.5,49.16666667,0.333333333,0.333333333,0.333333333,2,5.08,0,2,4,14.66666667,-0.666666667,0.333333333,-0.166666667,0,Same Stance,2
3564,UFC Fight Night: Cowboy vs Cowboy83520James KrauseShane Campbell,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,8,Lightweight,Keith Peterson,Decision,Unanimous,3,5,0,300,900,Shane Campbell,Fighter 2,loss,34625,82,2,0,2,Shaolin,Toshido Mixed Martial Arts,"Kelowna, British Columbia",Canada,1988,28,182.88,70.30676,71,71,Orthodox,1,1,2,0.5,34.5,1,0,0.5,-2,-5.08,0,-2,-4,-14.66666667,0.666666667,-0.333333333,0.166666667,0,Same Stance,-2
3563,UFC Fight Night: Cowboy vs Cowboy73519Sean StricklandAlex Garcia,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,7,Welterweight,Bill Bookwalter,TKO,Punches,3,4,25,265,865,Sean Strickland,Fighter 1,win,30452,84,1,0,2,Tarzan,CQuence Jiu-Jitsu,"Riverside, California",United States,1991,25,185.42,77.11064,76,76,Orthodox,3,1,4,0.75,45.75,1.75,0.75,1,-4,10.16,0,4,0,21,-2.25,0.75,-1.5,0,Same Stance,4
3563,UFC Fight Night: Cowboy vs Cowboy73519Sean StricklandAlex Garcia,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,7,Welterweight,Bill Bookwalter,TKO,Punches,3,4,25,265,865,Alex Garcia,Fighter 2,loss,54124,23,3,0,0,The Dominican Nightmare,Tristar Gym,"Montreal, Quebec",Canada,1987,29,175.26,77.11064,72,72,Orthodox,3,1,4,0.75,24.75,4,0,2.5,4,-10.16,0,-4,0,-21,2.25,-0.75,1.5,0,Same Stance,-4
3562,UFC Fight Night: Cowboy vs Cowboy63518Oluwale BamgboseDaniel Sarafian,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,6,Middleweight,James Chappell,KO,Head Kick and Punches,1,1,0,60,60,Oluwale Bamgbose,Fighter 1,win,103153,8,0,0,0,The Holy War Angel,Chute Boxe USA,"New York, New York",United States,1987,29,180.34,83.91452,78,78,Switch,0,1,1,0,7,0,0,0,-5,5.08,0,5,-4,-11.8,-0.2,-0.4,-0.8,-0.4,Different Stance,5
3562,UFC Fight Night: Cowboy vs Cowboy63518Oluwale BamgboseDaniel Sarafian,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,6,Middleweight,James Chappell,KO,Head Kick and Punches,1,1,0,60,60,Daniel Sarafian,Fighter 2,loss,17665,0,0,0,0,,Power MMA,"Sao Paulo, Sao Paulo",Brazil,1982,34,175.26,83.91452,73,73,Orthodox,2,3,5,0.4,18.8,0.2,0.4,0.8,5,-5.08,0,-5,4,11.8,0.2,0.4,0.8,0.4,Different Stance,-5
3561,UFC Fight Night: Cowboy vs Cowboy53517Anthony SmithLeonardo Augusto Leleco,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,5,Middleweight,Chip Snider,Decision,Unanimous,3,5,0,300,900,Anthony Smith,Fighter 1,win,29470,57,2,0,2,Lionheart,Disorderly Conduct,"Omaha, Nebraska",United States,1988,28,193.04,83.91452,77,77,,0,1,1,0,5,0,0,0,-6,10.16,0,4,1,5,0,0,0,0,,4
3561,UFC Fight Night: Cowboy vs Cowboy53517Anthony SmithLeonardo Augusto Leleco,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,5,Middleweight,Chip Snider,Decision,Unanimous,3,5,0,300,900,Leonardo Guimaraes,Fighter 2,loss,14971,64,0,0,2,Leleco,MMA Masters,"Salvador, Bahia",Brazil,1982,34,182.88,83.91452,73,73,Orthodox,0,0,0,0,0,0,0,0,6,-10.16,0,-4,-1,-5,0,0,0,0,,-4
3560,UFC Fight Night: Cowboy vs Cowboy43516Nathan CoyJonavin Webb,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,4,Welterweight,Keith Peterson,Decision,Unanimous,3,5,0,300,900,Nathan Coy,Fighter 1,win,25412,37,3,0,8,Soulforce,American Top Team,"Portland, Oregon",United States,1978,38,177.8,77.11064,69,69,Southpaw,0,1,1,0,11,1,0,0,11,0,0,-2,0,-12,-1,-2,-2,0,Different Stance,-2
3560,UFC Fight Night: Cowboy vs Cowboy43516Nathan CoyJonavin Webb,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,4,Welterweight,Keith Peterson,Decision,Unanimous,3,5,0,300,900,Jonavin Webb,Fighter 2,loss,81634,21,3,0,0,Spyder,Renzo Gracie Philly,"Marlton, New Jersey",United States,1989,27,177.8,77.11064,71,71,Orthodox,0,1,1,0,23,2,2,2,-11,0,0,2,0,12,1,2,2,0,Different Stance,2
3559,UFC Fight Night: Cowboy vs Cowboy33515Ashlee Evans-SmithMarion Reneau,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,3,Womens Bantamweight,James Chappell,Decision,Split,3,5,0,300,900,Ashlee Evans-Smith,Fighter 1,win,75021,55,1,0,0,,Reign MMA,"Lake Forest, California",United States,1987,29,172.72,61.23492,67,67,Orthodox,0,1,1,0,11,1,0,1,-10,5.08,0,-1,-2,-28,1,-0.333333333,1,-0.666666667,Same Stance,-1
3559,UFC Fight Night: Cowboy vs Cowboy33515Ashlee Evans-SmithMarion Reneau,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,3,Womens Bantamweight,James Chappell,Decision,Split,3,5,0,300,900,Marion Reneau,Fighter 2,loss,61266,53,1,1,0,The Bruiser,Elite Team,"Visalia, California",United States,1977,39,167.64,61.23492,68,68,Orthodox,2,1,3,0.666666667,39,0,0.333333333,0,10,-5.08,0,1,2,28,-1,0.333333333,-1,0.666666667,Same Stance,1
3558,UFC Fight Night: Cowboy vs Cowboy23514Lauren MurphyKelly Faszholz,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,2,Womens Bantamweight,Bill Bookwalter,TKO,Elbows and Punches,3,4,55,295,895,Lauren Murphy,Fighter 1,win,66725,95,1,0,2,,Gracie Barra Katy,"Anchorage, Alaska",United States,1983,33,170.18,61.23492,67,67,Orthodox,0,2,2,0,47,1,0,0,,-2.54,0,0,2,47,1,0,0,0,Same Stance,0
3558,UFC Fight Night: Cowboy vs Cowboy23514Lauren MurphyKelly Faszholz,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,2,Womens Bantamweight,Bill Bookwalter,TKO,Elbows and Punches,3,4,55,295,895,Kelly Faszholz,Fighter 2,loss,117453,76,0,0,0,,Nor-Cal Fighting Alliance,"Santa Rosa, California",United States,,,172.72,61.23492,67,67,Orthodox,0,0,0,0,0,0,0,0,,2.54,0,0,-2,-47,-1,0,0,0,Same Stance,0
3557,UFC Fight Night: Cowboy vs Cowboy13513Shamil AbdurakhimovAnthony Hamilton,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,1,Heavyweight,Chip Snider,Decision,Unanimous,3,5,0,300,900,Shamil Abdurakhimov,Fighter 1,win,26808,62,0,0,0,Abrek,Peresvet FT,"Makhachkala, Dagestan",Russia,1981,35,190.5,106.59412,76,76,Orthodox,0,1,1,0,9,0,0,0,-1,-5.08,-11.3398,0,-3,-28.75,-2,0,-1.25,-0.5,Same Stance,0
3557,UFC Fight Night: Cowboy vs Cowboy13513Shamil AbdurakhimovAnthony Hamilton,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,1,Heavyweight,Chip Snider,Decision,Unanimous,3,5,0,300,900,Anthony Hamilton,Fighter 2,loss,58947,40,0,0,0,Freight Train,Jackson-Wink MMA,"Seattle, Washington",United States,1980,36,195.58,117.93392,76,76,Orthodox,2,2,4,0.5,37.75,2,0,1.25,1,5.08,11.3398,0,3,28.75,2,0,1.25,0.5,Same Stance,0
3556,UFC Fight Night: Hendricks vs Thompson123335Stephen ThompsonJohny Hendricks,MULTI-ROUND,UFC Fight Night,UFC Fight Night 82 - Hendricks vs. Thompson,2016,2,6,America,"Las Vegas, Nevada, U.S.",MGM Grand Garden Arena,7422,YES,12,Welterweight,John McCarthy,TKO,Punches,1,3,31,211,211,Stephen Thompson,Fighter 1,win,59608,24,0,0,0,Wonderboy,Team Upstate Karate,"Simpsonville, South Carolina",United States,1983,33,182.88,77.11064,75,75,Orthodox,6,1,7,0.857142857,42.71428571,0.714285714,0,0.714285714,0,7.62,0,6,-8,-4.085714286,-2.885714286,-0.4,-0.419047619,0.057142857,Different Stance,6
3556,UFC Fight Night: Hendricks vs Thompson123335Stephen ThompsonJohny Hendricks,MULTI-ROUND,UFC Fight Night,UFC Fight Night 82 - Hendricks vs. Thompson,2016,2,6,America,"Las Vegas, Nevada, U.S.",MGM Grand Garden Arena,7422,YES,12,Welterweight,John McCarthy,TKO,Punches,1,3,31,211,211,Johny Hendricks,Fighter 2,loss,24539,7,0,0,0,Bigg Rigg,Team Takedown,"Ada, Oklahoma",United States,1983,33,175.26,77.11064,69,69,Southpaw,12,3,15,0.8,46.8,3.6,0.4,1.133333333,0,-7.62,0,-6,8,4.085714286,2.885714286,0.4,0.419047619,-0.057142857,Different Stance,-6
