Full Name,FIRST,LAST,NICKNAME,HT.,Height_FT,Height_INCH,Height_CM,WT.,WEIGHT_LB,WEIGHT_KG,REACH,REACH_INCH,STANCE,W,L,D,BELT,GENDER,DIVISION
Aaron Brink,Aaron,Brink,,"6' 3""",6,3,190.5,205 lbs.,205,92.98636,--,0,Orthodox,25,21,0,,M,Light Heavyweight
Aaron Ely,Aaron,Ely,The Cyborg,"5' 8""",5,8,172.72,135 lbs.,135,61.23492,--,0,n/a,5,2,0,,M,Bantamweight
Aaron Lanfranco,Aaron,Lanfranco,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,5,1,0,,M,Lightweight
Aaron Miller,Aaron,Miller,Blood Spiller,"5' 9""",5,9,175.26,145 lbs.,145,65.77084,--,0,n/a,14,10,0,,M,Featherweight
Aaron Phillips,Aaron,Phillips,The Model,"5' 9""",5,9,175.26,135 lbs.,135,61.23492,"70.0""",70,Southpaw,8,2,0,,M,Bantamweight
Aaron Riley,Aaron,Riley,,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,"69.0""",69,Southpaw,29,14,1,,M,Lightweight
Aaron Rosa,Aaron,Rosa,,"6' 4""",6,4,193.04,205 lbs.,205,92.98636,"78.0""",78,Orthodox,17,5,0,,M,Light Heavyweight
Aaron Simpson,Aaron,Simpson,A-Train,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"73.0""",73,Orthodox,11,4,0,,M,Welterweight
Aaron Trujillo,Aaron,Trujillo,,"5' 5""",5,5,165.1,125 lbs.,125,56.699,--,0,n/a,0,1,0,,M,Flyweight
Aaron Wetherspoon,Aaron,Wetherspoon,Slam,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,8,4,0,,M,Welterweight
Aaron Wilkinson,Aaron,Wilkinson,The Daywalker,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,n/a,7,5,0,,M,Lightweight
Abdul Razak Alhassan,Abdul Razak,Alhassan,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,n/a,4,0,0,,M,Welterweight
Abdul-Kerim Edilov,Abdul-Kerim,Edilov,,"6' 1""",6,1,185.42,205 lbs.,205,92.98636,--,0,Orthodox,16,4,0,,M,Light Heavyweight
Abel Cullum,Abel,Cullum,The Silent Assassin,"5' 7""",5,7,170.18,139 lbs.,139,63.049288,--,0,Orthodox,18,6,0,,M,Featherweight
Abel Trujillo,Abel,Trujillo,Killa,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,"70.0""",70,Orthodox,15,5,0,,M,Lightweight
Abner Lloveras,Abner,Lloveras,Skullman,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,"71.0""",71,n/a,19,8,1,,M,Lightweight
Abongo Humphrey,Abongo,Humphrey,,"5' 11""",5,11,180.34,205 lbs.,205,92.98636,--,0,Orthodox,7,3,0,,M,Light Heavyweight
Abram Torres,Abram,Torres,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,n/a,3,3,0,,M,Welterweight
Achmed Labasanov,Achmed,Labasanov,,"6' 3""",6,3,190.5,215 lbs.,215,97.52228,--,0,Orthodox,8,5,0,,M,Heavyweight
Adam Antolin,Adam,Antolin,,"5' 5""",5,5,165.1,135 lbs.,135,61.23492,--,0,n/a,3,3,0,,M,Bantamweight
Adam Cella,Adam,Cella,El Naturel,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,"78.0""",78,n/a,4,2,0,,M,Welterweight
Adam Khaliev,Adam,Khaliev,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,Orthodox,6,0,0,,M,Welterweight
Adam Lynn,Adam,Lynn,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,Orthodox,17,8,0,,M,Lightweight
Adam Meredith,Adam,Meredith,,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,--,0,n/a,3,1,0,,M,Welterweight
Adam Milstead,Adam,Milstead,The Prototype,"6' 3""",6,3,190.5,229 lbs.,229,103.872568,--,0,n/a,7,1,0,,M,Heavyweight
Adam Piccolotti,Adam,Piccolotti,,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,--,0,n/a,7,0,0,,M,Lightweight
Adam Schindler,Adam,Schindler,,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,--,0,n/a,9,3,0,,M,Lightweight
Adam Smith,Adam,Smith,,--,0,0,0,--,0,0,--,0,n/a,0,2,0,,M,n/a
Adam Steele,Adam,Steele,,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,0,1,0,,M,Welterweight
Adin Duenas,Adin,Duenas,,"5' 6""",5,6,167.64,145 lbs.,145,65.77084,--,0,n/a,3,1,0,,M,Featherweight
Adlan Amagov,Adlan,Amagov,Borz,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,"76.0""",76,Orthodox,13,2,1,,M,Welterweight
Adrian Serrano,Adrian,Serrano,,"5' 8""",5,8,172.72,170 lbs.,170,77.11064,--,0,n/a,56,29,4,,M,Welterweight
Adriano Martins,Adriano,Martins,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"72.0""",72,Southpaw,28,7,0,,M,Lightweight
Adriano Santos,Adriano,Santos,,--,0,0,0,--,0,0,--,0,n/a,0,1,0,,M,n/a
Adrienna Jenkins,Adrienna,Jenkins,AJ,"5' 8""",5,8,172.72,145 lbs.,145,65.77084,--,0,n/a,18,6,0,,M,Featherweight
Aisling Daly,Aisling,Daly,Ais the Bash,"5' 2""",5,2,157.48,115 lbs.,115,52.16308,"64.0""",64,n/a,16,6,0,,F,Strawweight
AJ Fonseca,AJ,Fonseca,,"5' 4""",5,4,162.56,145 lbs.,145,65.77084,--,0,n/a,5,4,0,,M,Featherweight
AJ Matthews,AJ,Matthews,,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,--,0,n/a,6,1,0,,M,Middleweight
AJ McKee,AJ,McKee,Mercenary,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,--,0,n/a,3,0,0,,M,Featherweight
AJ Siscoe,AJ,Siscoe,Let's Go,"5' 7""",5,7,170.18,135 lbs.,135,61.23492,--,0,n/a,0,2,0,,M,Bantamweight
Aji Susilo,Aji,Susilo,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,n/a,6,4,0,,M,Lightweight
Akbarh Arreola,Akbarh,Arreola,El Caballero,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"71.0""",71,Southpaw,23,10,1,,M,Lightweight
Akihiro Gono,Akihiro,Gono,,"5' 7""",5,7,170.18,170 lbs.,170,77.11064,"68.0""",68,Switch,32,16,7,,M,Welterweight
Akihito Tanaka,Akihito,Tanaka,Kinniku Mantaro,--,0,0,0,--,0,0,--,0,Southpaw,2,2,0,,M,n/a
Akira Corassani,Akira,Corassani,,"5' 8""",5,8,172.72,145 lbs.,145,65.77084,"68.0""",68,Orthodox,14,7,0,,M,Featherweight
Akira Kikuchi,Akira,Kikuchi,,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,--,0,Orthodox,16,4,0,,M,Lightweight
Akira Shoji,Akira,Shoji,,"5' 8""",5,8,172.72,195 lbs.,195,88.45044,--,0,Orthodox,14,17,5,,M,Light Heavyweight
Akitoshi Tamura,Akitoshi,Tamura,The Ironman,"5' 9""",5,9,175.26,135 lbs.,135,61.23492,"70.0""",70,Orthodox,16,11,2,,M,Bantamweight
Akiyo Nishiura,Akiyo,Nishiura,Wicky Akiyo,"5' 8""",5,8,172.72,139 lbs.,139,63.049288,--,0,Southpaw,11,7,1,,M,Featherweight
Al Iaquinta,Al,Iaquinta,Raging,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"70.0""",70,Orthodox,12,3,1,,M,Lightweight
Alan Belcher,Alan,Belcher,The Talent,"6' 2""",6,2,187.96,185 lbs.,185,83.91452,"73.0""",73,Orthodox,17,7,0,,M,Middleweight
Alan Gomez,Alan,Gomez,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,2,0,0,,M,Lightweight
Alan Hiro,Alan,Hiro,Yamaniha,"5' 5""",5,5,165.1,135 lbs.,135,61.23492,--,0,Orthodox,11,4,4,,M,Bantamweight
Alan Jouban,Alan,Jouban,Brahma,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"73.0""",73,Southpaw,13,4,0,,M,Welterweight
Alan Omer,Alan,Omer,,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,"71.0""",71,Orthodox,18,5,0,,M,Featherweight
Alan Patrick Silva Alves,Alan,Patrick Silva Alves,Nuguette,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,"74.0""",74,Southpaw,13,1,0,,M,Lightweight
Alavutdin Gadjiev,Alavutdin,Gadjiev,,"6' 2""",6,2,187.96,185 lbs.,185,83.91452,--,0,Orthodox,18,12,1,,M,Middleweight
Albert Cheng,Albert,Cheng,,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,--,0,Orthodox,2,4,0,,M,Welterweight
Albert Morales,Albert,Morales,,"5' 9""",5,9,175.26,135 lbs.,135,61.23492,--,0,n/a,2,0,0,,M,Bantamweight
Albert Rios,Albert,Rios,,"5' 8""",5,8,172.72,145 lbs.,145,65.77084,--,0,n/a,13,6,0,,M,Featherweight
Albert Tumenov,Albert,Tumenov,Einstein,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,"73.0""",73,Orthodox,17,2,0,,M,Welterweight
Alberto Cerra Leon,Alberto Cerra,Leon,,"5' 8""",5,8,172.72,238 lbs.,238,107.954896,--,0,n/a,0,1,0,,M,Heavyweight
Alberto Crane,Alberto,Crane,,"5' 5""",5,5,165.1,155 lbs.,155,70.30676,--,0,Orthodox,15,5,0,,M,Lightweight
Alberto Mina,Alberto,Mina,Soldier of God,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"77.0""",77,Orthodox,12,0,0,,M,Welterweight
Alberto Uda,Alberto,Uda,,--,0,0,0,185 lbs.,185,83.91452,--,0,n/a,9,0,0,,M,Middleweight
Alejandro Garcia,Alejandro,Garcia,Alex,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,--,0,n/a,14,5,0,,M,Featherweight
Alejandro Perez,Alejandro,Perez,Diablito,"5' 6""",5,6,167.64,135 lbs.,135,61.23492,"67.0""",67,n/a,18,6,0,,M,Bantamweight
Alejandro Villalobos,Alejandro,Villalobos,,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,--,0,n/a,17,4,0,,M,Featherweight
Aleksander Emelianenko,Aleksander,Emelianenko,,"6' 6""",6,6,198.12,255 lbs.,255,115.66596,--,0,Orthodox,17,4,0,,M,Heavyweight
Aleksandra Albu,Aleksandra,Albu,Stitch,"5' 2""",5,2,157.48,115 lbs.,115,52.16308,"62.0""",62,Orthodox,6,0,0,,F,Strawweight
Alessio Di Chirico,Alessio,Di Chirico,Manzo,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,"74.0""",74,Orthodox,9,1,0,,M,Middleweight
Alessio Sakara,Alessio,Sakara,Legionarius,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,"72.0""",72,Orthodox,19,11,0,,M,Middleweight
Alex Andrade,Alex,Andrade,El Toro,"5' 11""",5,11,180.34,200 lbs.,200,90.7184,--,0,Orthodox,10,5,0,,M,Light Heavyweight
Alex Caceres,Alex,Caceres,Bruce Leeroy,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,"73.0""",73,Southpaw,11,8,0,,M,Featherweight
Alex Chambers,Alex,Chambers,Astro Girl,"5' 3""",5,3,160.02,115 lbs.,115,52.16308,"63.0""",63,n/a,5,3,0,,F,Strawweight
Alex Crispin,Alex,Crispin,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,0,1,0,,M,Lightweight
Alex Dunworth,Alex,Dunworth,,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,--,0,n/a,2,2,0,,M,Lightweight
Alex Garcia,Alex,Garcia,The Dominican Nightmare,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,"72.0""",72,Orthodox,13,3,0,,M,Welterweight
Alex Higley,Alex,Higley,,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,--,0,n/a,2,2,0,,M,Featherweight
Alex Huddleston,Alex,Huddleston,The Shaved Gorilla,"6' 7""",6,7,200.66,254 lbs.,254,115.212368,--,0,n/a,6,2,0,,M,Heavyweight
Alex Hunter,Alex,Hunter,,"5' 9""",5,9,175.26,226 lbs.,226,102.511792,--,0,Orthodox,2,0,0,,M,Heavyweight
Alex Karalexis,Alex,Karalexis,The Assassin,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,"66.0""",66,Orthodox,10,6,0,,M,Lightweight
Alex Morono,Alex,Morono,The Great White,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,"72.0""",72,Orthodox,12,3,0,,M,Welterweight
Alex Nicholson,Alex,Nicholson,The Spartan,"6' 4""",6,4,193.04,205 lbs.,205,92.98636,"81.0""",81,n/a,6,2,0,,M,Light Heavyweight
Alex Oliveira,Alex,Oliveira,Cowboy,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,"76.0""",76,Orthodox,13,3,1,,M,Welterweight
Alex Schoenauer,Alex,Schoenauer,,"6' 3""",6,3,190.5,185 lbs.,185,83.91452,--,0,Orthodox,15,10,0,,M,Middleweight
Alex Serdyukov,Alex,Serdyukov,The Russian Crusher,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,"74.0""",74,Orthodox,8,5,0,,M,Welterweight
Alex Soto,Alex,Soto,Extremo,"5' 8""",5,8,172.72,135 lbs.,135,61.23492,"71.0""",71,Southpaw,6,2,1,,M,Bantamweight
Alex Stiebling,Alex,Stiebling,The Brazilian Killa,"6' 2""",6,2,187.96,205 lbs.,205,92.98636,--,0,Southpaw,18,11,1,,M,Light Heavyweight
Alex Torres,Alex,Torres,Rolo,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,"70.0""",70,Orthodox,2,2,0,,M,Featherweight
Alex White,Alex,White,The Spartan,"6' 0""",6,0,182.88,145 lbs.,145,65.77084,"71.0""",71,Southpaw,11,2,0,,M,Featherweight
Alex Zuniga,Alex,Zuniga,,--,0,0,0,145 lbs.,145,65.77084,--,0,n/a,4,3,0,,M,Featherweight
Alexander Crispim,Alexander,Crispim,,--,0,0,0,145 lbs.,145,65.77084,--,0,n/a,7,2,0,,M,Featherweight
Alexander Gustafsson,Alexander,Gustafsson,The Mauler,"6' 5""",6,5,195.58,205 lbs.,205,92.98636,"79.0""",79,Orthodox,16,4,0,,M,Light Heavyweight
Alexander Otsuka,Alexander,Otsuka,The Diet Butcher,"6' 1""",6,1,185.42,205 lbs.,205,92.98636,--,0,Orthodox,4,13,0,,M,Light Heavyweight
Alexander Sarnavskiy,Alexander,Sarnavskiy,Tiger,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,--,0,n/a,30,3,0,,M,Lightweight
Alexander Shlemenko,Alexander,Shlemenko,Storm,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,--,0,n/a,51,9,0,,M,Middleweight
Alexander Trevino,Alexander,Trevino,,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,5,2,0,,M,Welterweight
Alexander Volkov,Alexander,Volkov,Drago,"6' 7""",6,7,200.66,235 lbs.,235,106.59412,--,0,n/a,24,6,0,,M,Heavyweight
Alexander Yakovlev,Alexander,Yakovlev,Thunder of the North,"6' 3""",6,3,190.5,170 lbs.,170,77.11064,"74.0""",74,Southpaw,23,6,1,,M,Welterweight
Alexandre Barros,Alexandre,Barros,Baixinho,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,--,0,Southpaw,18,8,0,,M,Welterweight
Alexandre Dantas,Alexandre,Dantas,Cafe,"6' 2""",6,2,187.96,238 lbs.,238,107.954896,--,0,Orthodox,0,2,0,,M,Heavyweight
Alexandre Ferreira,Alexandre,Ferreira,Cacareco,"5' 7""",5,7,170.18,205 lbs.,205,92.98636,--,0,Orthodox,18,6,0,,M,Light Heavyweight
Alexandre Franca Nogueira,Alexandre Franca,Nogueira,Pequeno,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,--,0,Orthodox,13,6,2,,M,Featherweight
Alexandru Lungu,Alexandru,Lungu,,"6' 0""",6,0,182.88,385 lbs.,385,174.63292,--,0,Orthodox,8,2,0,,M,Super Heavyweight
Alexey Oliynyk,Alexey,Oliynyk,The Boa Constrictor,"6' 2""",6,2,187.96,240 lbs.,240,108.86208,"80.0""",80,Orthodox,50,9,1,,M,Heavyweight
Alexis Davis,Alexis,Davis,,"5' 6""",5,6,167.64,135 lbs.,135,61.23492,"68.0""",68,Orthodox,17,6,0,,F,Bantamweight
Alexis Dufresne,Alexis,Dufresne,Sneaky Zebra,"5' 9""",5,9,175.26,135 lbs.,135,61.23492,"68.0""",68,Orthodox,5,4,0,,M,Bantamweight
Alfonso Alcarez,Alfonso,Alcarez,,"5' 3""",5,3,160.02,145 lbs.,145,65.77084,--,0,n/a,1,3,1,,M,Featherweight
Ali Bagautinov,Ali,Bagautinov,Puncher,"5' 4""",5,4,162.56,125 lbs.,125,56.699,"65.0""",65,Orthodox,13,4,0,,M,Flyweight
Aliev Makhmud,Aliev,Makhmud,,"5' 6""",5,6,167.64,195 lbs.,195,88.45044,--,0,Southpaw,0,1,0,,M,Light Heavyweight
Alistair Overeem,Alistair,Overeem,The Reem,"6' 4""",6,4,193.04,265 lbs.,265,120.20188,"80.0""",80,Orthodox,40,14,0,,M,Heavyweight
Aljamain Sterling,Aljamain,Sterling,Funk Master,"5' 7""",5,7,170.18,135 lbs.,135,61.23492,"71.0""",71,Orthodox,12,0,0,,M,Bantamweight
Allan Goes,Allan,Goes,,"6' 0""",6,0,182.88,205 lbs.,205,92.98636,--,0,Orthodox,10,5,2,,M,Light Heavyweight
Allen Berube,Allen,Berube,Monstah Lobstah,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,--,0,Orthodox,4,3,0,,M,Lightweight
Alonzo Martinez,Alonzo,Martinez,Zo Diddy,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,n/a,35,16,1,,M,Lightweight
Alonzo Menifield,Alonzo,Menifield,,"6' 1""",6,1,185.42,205 lbs.,205,92.98636,--,0,n/a,1,0,0,,M,Light Heavyweight
Alptekin Ozkilic,Alptekin,Ozkilic,The Turkish Delight,"5' 5""",5,5,165.1,125 lbs.,125,56.699,"65.0""",65,Orthodox,9,4,0,,M,Flyweight
Alvaro Herrera,Alvaro,Herrera,Chango,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"74.0""",74,n/a,9,3,0,,M,Welterweight
Alvin Cacdac,Alvin,Cacdac,,"5' 6""",5,6,167.64,125 lbs.,125,56.699,--,0,Orthodox,16,11,0,,M,Flyweight
Alvin Robinson,Alvin,Robinson,,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"68.0""",68,Southpaw,12,6,0,,M,Lightweight
Amador Ramirez,Amador,Ramirez,,--,0,0,0,135 lbs.,135,61.23492,--,0,n/a,5,4,0,,M,Bantamweight
Amanda Nunes,Amanda,Nunes,Lioness,"5' 8""",5,8,172.72,135 lbs.,135,61.23492,"69.0""",69,Orthodox,12,4,0,,F,Bantamweight
Amar Suloev,Amar,Suloev,,"5' 9""",5,9,175.26,183 lbs.,183,83.007336,--,0,Orthodox,24,7,0,,M,Middleweight
Amaury Bitetti,Amaury,Bitetti,,"5' 9""",5,9,175.26,185 lbs.,185,83.91452,--,0,Orthodox,5,2,0,,M,Middleweight
Amber Tackett,Amber,Tackett,,--,0,0,0,115 lbs.,115,52.16308,--,0,n/a,1,2,0,,M,Strawweight
Amilcar Alves,Amilcar,Alves,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,Southpaw,11,4,0,,M,Welterweight
Amir Rahnavardi,Amir,Rahnavardi,,"6' 0""",6,0,182.88,205 lbs.,205,92.98636,--,0,Orthodox,11,10,0,,M,Light Heavyweight
Amir Sadollah,Amir,Sadollah,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,"74.0""",74,Orthodox,7,5,0,,M,Welterweight
An Ying Wang,An Ying,Wang,Smiley,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,Orthodox,2,2,0,,M,Welterweight
Anderson Silva,Anderson,Silva,The Spider,"6' 2""",6,2,187.96,185 lbs.,185,83.91452,"77.0""",77,Southpaw,33,7,0,,M,Middleweight
Andre Amado,Andre,Amado,Dida,"6' 0""",6,0,182.88,154 lbs.,154,69.853168,--,0,Orthodox,6,4,1,,M,Lightweight
Andre Fili,Andre,Fili,Touchy,"5' 11""",5,11,180.34,145 lbs.,145,65.77084,"74.0""",74,Orthodox,15,3,0,,M,Featherweight
Andre Galvao,Andre,Galvao,,"5' 7""",5,7,170.18,168 lbs.,168,76.203456,--,0,Orthodox,5,2,0,,M,Welterweight
Andre Gusmao,Andre,Gusmao,,"6' 0""",6,0,182.88,205 lbs.,205,92.98636,--,0,Orthodox,6,3,0,,M,Light Heavyweight
Andre Mussi,Andre,Mussi,,"6' 3""",6,3,190.5,242 lbs.,242,109.769264,--,0,Orthodox,10,5,0,,M,Heavyweight
Andre Pederneiras,Andre,Pederneiras,,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,--,0,Orthodox,1,1,2,,M,Lightweight
Andre Roberts,Andre,Roberts,The Chief,"6' 2""",6,2,187.96,345 lbs.,345,156.48924,--,0,Orthodox,14,2,1,,M,Super Heavyweight
Andre Santos,Andre,Santos,Chatuba,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,n/a,38,10,0,,M,Welterweight
Andre Walker,Andre,Walker,,"5' 11""",5,11,180.34,205 lbs.,205,92.98636,--,0,Southpaw,1,5,0,,M,Light Heavyweight
Andre Winner,Andre,Winner,,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,"73.0""",73,Orthodox,13,6,1,,M,Lightweight
Andreas Spang,Andreas,Spang,Sweet Swede,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,--,0,n/a,6,1,0,,M,Middleweight
Andreas Stahl,Andreas,Stahl,Real Steel,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,"73.0""",73,Orthodox,9,2,0,,M,Welterweight
Andrei Arlovski,Andrei,Arlovski,The Pitbull,"6' 3""",6,3,190.5,240 lbs.,240,108.86208,"77.0""",77,Orthodox,25,11,0,,M,Heavyweight
Andrei Kopylov,Andrei,Kopylov,,"6' 2""",6,2,187.96,265 lbs.,265,120.20188,--,0,Orthodox,5,10,0,,M,Heavyweight
Andrei Semenov,Andrei,Semenov,,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,Orthodox,30,9,2,,M,Middleweight
Andrew Craig,Andrew,Craig,Highlight,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,"76.0""",76,Orthodox,9,4,0,,M,Welterweight
Andrew Holbrook,Andrew,Holbrook,,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,"70.0""",70,Southpaw,11,0,0,,M,Lightweight
Andrew Montanez,Andrew,Montanez,,--,0,0,0,185 lbs.,185,83.91452,--,0,n/a,9,12,1,,M,Middleweight
Andrew Ramm,Andrew,Ramm,The,"6' 1""",6,1,185.42,160 lbs.,160,72.57472,--,0,n/a,3,2,0,,M,Welterweight
Andrew Todhunter,Andrew,Todhunter,The Sniper,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"72.0""",72,Switch,7,0,0,,M,Welterweight
Andrew Valladerez,Andrew,Valladerez,,--,0,0,0,135 lbs.,135,61.23492,--,0,n/a,2,4,0,,M,Bantamweight
Andrews Nakahara,Andrews,Nakahara,,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,--,0,Orthodox,3,2,0,,M,Middleweight
Andrey Koreshkov,Andrey,Koreshkov,Spartan,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,n/a,18,1,0,,M,Welterweight
Andy Anderson,Andy,Anderson,The Hammer,"5' 6""",5,6,167.64,240 lbs.,240,108.86208,--,0,n/a,0,1,0,,M,Heavyweight
Andy Enz,Andy,Enz,Lionheart,"6' 3""",6,3,190.5,185 lbs.,185,83.91452,"78.0""",78,Orthodox,8,3,0,,M,Middleweight
Andy Murad,Andy,Murad,The Tooth Fairy,"5' 9""",5,9,175.26,185 lbs.,185,83.91452,--,0,n/a,9,2,0,,M,Middleweight
Andy Ogle,Andy,Ogle,The Little Axe,"5' 8""",5,8,172.72,145 lbs.,145,65.77084,"69.0""",69,Orthodox,9,6,0,,M,Featherweight
Andy Ologun,Andy,Ologun,,"6' 0""",6,0,182.88,154 lbs.,154,69.853168,--,0,Orthodox,3,1,0,,M,Lightweight
Andy Uhrich,Andy,Uhrich,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,n/a,6,3,0,,M,Welterweight
Andy Wang,Andy,Wang,,"5' 6""",5,6,167.64,155 lbs.,155,70.30676,--,0,Orthodox,7,8,1,,M,Lightweight
Andy Waters,Andy,Waters,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,n/a,1,2,0,,M,Welterweight
Angela Hill,Angela,Hill,Overkill,"5' 3""",5,3,160.02,115 lbs.,115,52.16308,"64.0""",64,n/a,2,2,0,,F,Strawweight
Angela Magana,Angela,Magana,Your Majesty,"5' 1""",5,1,154.94,115 lbs.,115,52.16308,"65.0""",65,n/a,11,8,0,,F,Strawweight
Angelo Antonio,Angelo,Antonio,,--,0,0,0,205 lbs.,205,92.98636,--,0,Orthodox,0,3,0,,M,Light Heavyweight
Anistavio Medeiros,Anistavio,Medeiros,Gasparzinho,"5' 6""",5,6,167.64,145 lbs.,145,65.77084,--,0,Orthodox,15,8,0,,M,Featherweight
Anna Elmose,Anna,Elmose,Panda,--,0,0,0,135 lbs.,135,61.23492,--,0,n/a,3,0,0,,M,Bantamweight
Ansar Chalangov,Ansar,Chalangov,,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,--,0,Orthodox,14,4,0,,M,Welterweight
Anthony Alves,Anthony,Alves,,--,0,0,0,--,0,0,--,0,n/a,1,3,0,,M,n/a
Anthony Avila,Anthony,Avila,,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,--,0,n/a,6,1,0,,M,Featherweight
Anthony Birchak,Anthony,Birchak,El Toro,"5' 8""",5,8,172.72,135 lbs.,135,61.23492,"69.0""",69,Orthodox,12,3,0,,M,Bantamweight
Anthony Christodoulou,Anthony,Christodoulou,,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"72.0""",72,Orthodox,12,6,0,,M,Lightweight
Anthony Do,Anthony,Do,,"5' 4""",5,4,162.56,125 lbs.,125,56.699,--,0,n/a,2,0,0,,M,Flyweight
Anthony Figueroa,Anthony,Figueroa,,"5' 4""",5,4,162.56,135 lbs.,135,61.23492,--,0,Orthodox,5,6,1,,M,Bantamweight
Anthony Hamilton,Anthony,Hamilton,Freight Train,"6' 5""",6,5,195.58,260 lbs.,260,117.93392,"76.0""",76,Orthodox,14,4,0,,M,Heavyweight
Anthony Johnson,Anthony,Johnson,Rumble,"6' 2""",6,2,187.96,205 lbs.,205,92.98636,"78.0""",78,Orthodox,21,5,0,,M,Light Heavyweight
Anthony Lapsley,Anthony,Lapsley,The Recipe,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,"71.0""",71,Southpaw,25,7,0,,M,Welterweight
Anthony Leone,Anthony,Leone,,"5' 6""",5,6,167.64,135 lbs.,135,61.23492,--,0,Orthodox,9,5,0,,M,Bantamweight
Anthony Macias,Anthony,Macias,Mad Dog,"5' 9""",5,9,175.26,185 lbs.,185,83.91452,--,0,Switch,26,16,0,,M,Middleweight
Anthony Morrison,Anthony,Morrison,Cheesesteak,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,--,0,Orthodox,16,10,0,,M,Featherweight
