Full Name,FIRST,LAST,NICKNAME,HT.,Height_FT,Height_INCH,Height_CM,WT.,WEIGHT_LB,WEIGHT_KG,REACH,REACH_INCH,STANCE,W,L,D,BELT,GENDER,DIVISION
Jorge Lopez,Jorge,Lopez,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,Orthodox,11,3,0,,M,Welterweight
Jorge Masvidal,Jorge,Masvidal,Gamebred,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,"74.0""",74,Orthodox,29,10,0,,M,Welterweight
Jorge Oliveira,Jorge,Oliveira,,"6' 1""",6,1,185.42,205 lbs.,205,92.98636,--,0,n/a,5,2,1,,M,Light Heavyweight
Jorge Ortiz,Jorge,Ortiz,The Naked Man,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,Orthodox,16,9,1,,M,Middleweight
Jorge Patino,Jorge,Patino,Macaco,"5' 8""",5,8,172.72,170 lbs.,170,77.11064,--,0,Orthodox,25,13,1,,M,Welterweight
Jorge Rivera,Jorge,Rivera,El Conquistador,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,"73.0""",73,Orthodox,19,9,0,,M,Middleweight
Jorge Santiago,Jorge,Santiago,The Sandman,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,"74.0""",74,Orthodox,25,11,0,,M,Welterweight
Jorgen Kruth,Jorgen,Kruth,The Last Viking,"6' 2""",6,2,187.96,205 lbs.,205,92.98636,--,0,n/a,5,0,0,,M,Light Heavyweight
Jose Alberto Quinonez,Jose,Alberto Quinonez,Teco,"5' 8""",5,8,172.72,135 lbs.,135,61.23492,"69.0""",69,n/a,5,2,0,,M,Bantamweight
Jose Aldo,Jose,Aldo,Junior,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,"70.0""",70,Orthodox,25,2,0,,M,Featherweight
Jose Barreto,Jose,Barreto,,--,0,0,0,185 lbs.,185,83.91452,--,0,Southpaw,0,1,0,,M,Middleweight
Jose Canseco,Jose,Canseco,,"6' 4""",6,4,193.04,240 lbs.,240,108.86208,--,0,Orthodox,0,1,0,,M,Heavyweight
Jose Flores,Jose,Flores,,"6' 1""",6,1,185.42,155 lbs.,155,70.30676,--,0,n/a,4,0,0,,M,Lightweight
Jose Landi-Jons,Jose,Landi-Jons,Pele,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,--,0,Orthodox,27,14,0,,M,Welterweight
Jose Maria Tome,Jose,Maria Tome,No Chance,"5' 5""",5,5,165.1,125 lbs.,125,56.699,--,0,Orthodox,33,5,0,,M,Flyweight
Jose Palacios,Jose,Palacios,,"5' 9""",5,9,175.26,145 lbs.,145,65.77084,--,0,Orthodox,3,2,0,,M,Featherweight
Jose Perez,Jose,Perez,,--,0,0,0,--,0,0,--,0,n/a,1,1,0,,M,n/a
Jose Santibanez,Jose,Santibanez,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,10,3,0,,M,Lightweight
Joseph Benavidez,Joseph,Benavidez,,"5' 4""",5,4,162.56,125 lbs.,125,56.699,"65.0""",65,Southpaw,24,4,0,,M,Flyweight
Joseph Sandoval,Joseph,Sandoval,,"5' 7""",5,7,170.18,135 lbs.,135,61.23492,--,0,Southpaw,6,2,0,,M,Bantamweight
